author,published_at,updated_at,like_count,text,translated_text,vader_sentiment
@VedantaGuruji,2024-03-29T18:52:54Z,2024-03-29T18:52:54Z,0,Hey Rupesh All the best for your new channel.<br>what happened to BeeBom?,Hey Rupesh All the best for your new channel.<br>what happened to BeeBom?,0.6369
@shirapthipushkarni1,2024-03-29T18:02:57Z,2024-03-29T18:02:57Z,0,Sadly it won&#39;t pair with ios 😢,Sadly it won&#39;t pair with ios 😢,-0.7096
@sandipextc,2024-03-29T18:02:06Z,2024-03-29T18:02:06Z,0,"Glad to see you back Rupesh with your new venture. Good luck! <br>As for the AOD flicker, yes, I am using Fit 3 currently, and it does flicker when observed closely.","Glad to see you back Rupesh with your new venture. Good luck! <br>As for the AOD flicker, yes, I am using Fit 3 currently, and it does flicker when observed closely.",0.9245
@checkthisout9709,2024-03-29T15:37:02Z,2024-03-29T15:37:02Z,0,"Only drawbacks : no mic , display bazzels and I will prefer rounded display...","Only drawbacks : no mic , display bezel and I will prefer round display...",-0.296
@sorthichetan,2024-03-29T15:06:19Z,2024-03-29T15:06:19Z,0,Guys don’t buy this watch. It doesn’t have any support for iOS. No app which can support this on iOS,Guys don’t buy this watch. It doesn’t have any support for iOS. No app which can support this on iOS,0.4939
@Rambobba,2024-03-29T13:05:49Z,2024-03-29T13:05:49Z,0,Bro this watch is released by honor 2 years ago 😊 😅waste release from Samsung,Bro this watch is released by honor 2 years ago 😊 😅waste release from Samsung,0.8934
@zulfiqarcmd,2024-03-28T14:36:08Z,2024-03-28T14:36:08Z,0,can it be used with iOS phone?,can it be used with iOS phone?,0.0
@Prabhakars,2024-03-28T13:33:46Z,2024-03-28T13:33:46Z,0,I came here to find you first video and wish you best of luck.,I came here to find you first video and wish you best of luck.,0.872
@huguessauterelle6969,2024-03-27T16:33:03Z,2024-03-27T16:33:03Z,0,New Chanel?,New Chanel?,0.0
@MarioTran2307,2024-03-27T14:09:08Z,2024-03-27T14:09:08Z,0,Can it connect to Xiaomi phones? THanks,Can it connect to Xiaomi phones? THanks,0.4404
@shashantyadav,2024-03-26T13:02:50Z,2024-03-26T13:02:50Z,1,saw rupesh and thought this channel is impersonating beebom.. was going to report this.. till I read the pinned comment 😂😂😂 instantly followed.. 😂😂,saw rupesh and thought this channel is impersonating beebom.. was going to report this.. till I read the pinned comment 😂😂😂 instantly followed.. 😂😂,0.926
@Golden_Cat_Plays,2024-03-26T07:58:34Z,2024-03-26T07:58:34Z,0,"5000 me toh vostok, Casio ki best watches aa jayegi Jo 10 saal Kam se kam chalege","In 5000, Toh Vostock, Kasio's best watches will come, which will run at least 10 years",0.6369
@GamerNiko1,2024-03-25T12:59:40Z,2024-03-25T12:59:40Z,0,"Yeah mine flickers too, I’m guessing it’s to increase battery life by reducing refresh rate","Yeah mine flickers too, I’m guessing it’s to increase battery life by reducing refresh rate",0.5423
@nishant9985,2024-03-25T12:08:32Z,2024-03-25T12:08:32Z,0,It&#39;s a honor band 6 stamped as Samsung,It&#39;s a honor band 6 stamped as Samsung,0.4939
@testingrtx,2024-03-25T03:32:33Z,2024-03-25T03:32:33Z,0,Are you from BeeBom?,Are you from BeeBom?,0.0
@akorejepade1261,2024-03-24T21:24:53Z,2024-03-24T21:24:53Z,0,I love the GF3... OS is so smooth to use and so comfortable! I wonder if older Galaxy watches before they jumped into bed with Google and Google WearOS where as smooth as this GF3?,I love the GF3... OS is so smooth to use and so comfortable! I wonder if older Galaxy watches before they jumped into bed with Google and Google WearOS where as smooth as this GF3?,0.8668
@user-yt1hf3ut1p,2024-03-24T16:32:26Z,2024-03-24T16:32:26Z,0,Why did he left beeboom???,Why did he left beebom???,0.0
@leoesk,2024-03-24T13:28:50Z,2024-03-24T13:28:50Z,0,"Does anyone have the problem that the steps are always reset, or the steps are taken over from the cell phone and overwrite the steps on the watch?","Does anyone have the problem that the steps are always reset, or the steps are taken over from the cell phone and overwrite the steps on the watch?",-0.4019
@Neerajdevil07,2024-03-24T13:27:31Z,2024-03-24T13:27:31Z,0,No gps ?,GPS?,0.0
@sandeepsaini-jv1xg,2024-03-24T12:06:14Z,2024-03-24T12:06:14Z,0,Thanks for being your old school style ❤,Thanks for being your old school style ❤,0.7964
@anandsoni6957,2024-03-24T09:30:06Z,2024-03-24T09:30:06Z,1,Plz provide led tv reviews also,Plz provide led tv reviews also,0.0772
@ItsVasl,2024-03-24T08:20:23Z,2024-03-24T08:20:23Z,0,killer deal,killer deal,-0.6486
@smartdheekshith,2024-03-23T17:19:36Z,2024-03-23T17:19:36Z,1,expected for this🥰🥰,expected for this🥰🥰,0.9442
@jitendernegi9074,2024-03-23T16:10:12Z,2024-03-23T16:10:12Z,0,"Hey , can this be used with iphone ?","Hey , can this be used with iphone ?",0.0
@Ashishch150,2024-03-23T15:32:18Z,2024-03-23T15:32:18Z,0,Beebom is incomplete without your name tag line,Beebom is incomplete without your name tag line,0.0
@SuperRhythmic,2024-03-23T12:22:08Z,2024-03-23T12:22:08Z,0,Bluetooth calling,Bluetooth calling,0.0
@yohanlobo4767,2024-03-23T02:56:42Z,2024-03-23T02:56:42Z,0,Have you left beboom?,Have you left beboom?,0.0
@sreekuttanmk95,2024-03-22T13:34:48Z,2024-03-22T13:34:48Z,0,Dubai Price 160 DHS = 3639 ₹,Dubai Price 160 DHS = 3639 ₹,0.0
@sounakghosh9335,2024-03-22T09:42:05Z,2024-03-22T09:42:05Z,0,Ios compatibility?,Ios compatibility?,0.0
@scorpiosathish,2024-03-22T07:52:40Z,2024-03-22T07:52:40Z,0,This includes Mike. But I don&#39;t know why,This includes Mike. But I don&#39;t know why,0.0
@joy_paul97,2024-03-22T07:10:32Z,2024-03-22T07:10:32Z,0,Sillycorn has a face value of you. Good to go❤,Sillycorn has a face value of you. Good to go❤,0.8591
@mr1bug,2024-03-22T03:05:24Z,2024-03-22T03:05:24Z,0,is this a 30hz or 60hz screen ??,is this a 30hz or 60hz screen ??,0.0
@pinksun7305,2024-03-21T21:12:03Z,2024-03-21T21:12:03Z,0,Why do i feel that samsung purchased the huawei watch fit 1 from huawei and released it under another name?,Why do i feel that samsung purchased the huawei watch fit 1 from huawei and released it under another name?,0.3612
@harrysinghmf78,2024-03-21T18:13:28Z,2024-03-21T18:13:28Z,0,Subscribed,Subscribed,0.0
@soumeshkarmakar4745,2024-03-21T10:40:07Z,2024-03-21T10:40:07Z,0,does it work on ios or older samsung devices ?,does it work on ios or older samsung devices ?,0.0
@ankan.neutrinos,2024-03-20T19:09:57Z,2024-03-20T19:09:57Z,0,We love Rupesh Sir 🤍,We love Rupesh Sir 🤍,0.6369
@Leo-gc3hq,2024-03-20T18:47:32Z,2024-03-20T18:47:32Z,0,Beebom😮,Beebom😮,0.0
@skarju1237,2024-03-20T18:40:15Z,2024-03-20T18:40:15Z,0,Which smartwatch is best under 4-5k?,Which smartwatch is best under 4-5k?,0.6369
@owaisakram9124,2024-03-20T16:29:03Z,2024-03-20T16:29:03Z,0,😮😮❤❤,😮😮❤❤,0.8555
@zaidshaikh4353,2024-03-20T14:09:04Z,2024-03-20T14:09:04Z,0,Display resolution is not as good as CMF Watch Pro and that gives an extra edge to CMF watch for sharper display.,Display resolution is not as good as CMF Watch Pro and that gives an extra edge to CMF watch for sharper display.,-0.3412
@microsoftuser9146,2024-03-20T05:22:37Z,2024-03-20T05:22:37Z,0,"Hey Rupesh could you make a video for a good pc setup under 1 lakh to 70k , because I  fell that only you understand our price constraints and the indian markets conditions properly :)","Hey Rupesh could you make a video for a good pc setup under 1 lakh to 70k , because I  fell that only you understand our price constraints and the indian markets conditions properly :)",0.7096
@prasanthcm1987,2024-03-20T04:29:48Z,2024-03-20T04:29:48Z,0,❤❤❤❤,❤❤❤❤,0.9571
@milestone070,2024-03-19T18:03:04Z,2024-03-19T18:03:04Z,0,Is this compatible with apple,Is this compatible with apple,0.0
@kvirupakshi3596,2024-03-19T16:48:06Z,2024-03-19T16:48:06Z,0,I have unsubscribed “Beebom”,I have unsubscribed “Beebom”,0.0
@vinayakk5786,2024-03-19T09:46:38Z,2024-03-19T09:46:38Z,0,Only reason i watch beebom was because of Rupesh ❤️🤍,Only reason i watch beebom was because of Rupesh ❤️🤍,0.0
@manishgaur1997,2024-03-19T04:45:51Z,2024-03-19T04:45:51Z,0,Other things 😂😂😂,Other things 😂😂😂,0.8271
@aakrit9422,2024-03-19T04:15:26Z,2024-03-19T04:15:26Z,1,Based on my experience I would say you shouldn&#39;t buy smartwatch unless u need to track ur activity <br>Spend same money in analog watch that will get more attentions........<br>As a student myself lately I realised smartwatches are toys and u will be irritated charging it,Based on my experience I would say you shouldn&#39;t buy smartwatch unless u need to track ur activity <br>Spend same money in analog watch that will get more attentions........<br>As a student myself lately I realised smartwatches are toys and u will be irritated charging it,-0.4588
@srikanth6196,2024-03-18T19:09:39Z,2024-03-18T19:09:39Z,0,It&#39;s just feels like Huawei band 6 with samsung logo,It&#39;s just feels like Huawei band 6 with samsung logo,0.3612
@RaneKunLovesNightcore,2024-03-18T18:45:39Z,2024-03-18T18:45:39Z,0,Is taking calls on a smartwatch such a mainstream?,Is taking calls on a smartwatch such a mainstream?,0.0
@VladChis-gh7bd,2024-03-18T18:26:53Z,2024-03-18T18:26:53Z,0,"be blessed guys, and keep going","be blessed guys, and keep going",0.5994
@sohanrajkarnikar707,2024-03-18T18:20:15Z,2024-03-18T18:20:15Z,0,What happened to Beebom? I came to the comment just after listening to the new channel name....,What happened to Beebom? I came to the comment just after listening to the new channel name....,0.0
@maneebmasood,2024-03-18T17:41:30Z,2024-03-18T17:41:30Z,0,Was trying to find you. All the best!,Was trying to find you. All the best!,0.6696
@charredice96,2024-03-18T16:14:19Z,2024-03-18T16:14:19Z,0,No GPS. How is it killing smartwatchs?,No GPS. How is it killing smartwatches?,-0.765
@ayoushmukherjee4949,2024-03-18T07:25:37Z,2024-03-18T07:25:37Z,0,"Welcome back, Rupesh! 🎉","Welcome back, Rupesh! 🎉",0.7177
@noobmaster1231,2024-03-18T05:23:25Z,2024-03-18T05:23:25Z,0,"I thought this was either a stolen video or a clickbait title, then I read the pinned comment.. lol..<br><br> NGL, the other YouTube channel doesn&#39;t feel like them anymore.. <br><br><br>Welcome back man. Missed you in videos m🤌 <br>Waiting for more content 🔥🔥<br><br>Small suggestion which you probably fixed at this point.. sfx  is a bit too loud, maybe reduce by a bit and it&#39;ll be perfect 🤌","I thought this was either a stolen video or a clickbait title, then I read the pinned comment.. lol..<br><br> NGL, the other YouTube channel doesn&#39;t feel like them anymore.. <br><br><br>Welcome back man. Missed you in videos m🤌 <br>Waiting for more content 🔥🔥<br><br>Small suggestion which you probably fixed at this point.. sfx  is a bit too loud, maybe reduce by a bit and it&#39;ll be perfect 🤌",-0.2212
@SethiPavneet,2024-03-18T03:21:46Z,2024-03-18T03:22:21Z,0,"Bro, I have been following you (beebom) since 1 year or more now. I support your dream. If you need any help with editing, do let me know","Bro, I have been following you (beebom) since 1 year or more now. I support your dream. If you need any help with editing, do let me know",0.7693
@pavanjoo4753,2024-03-18T02:59:02Z,2024-03-18T02:59:02Z,0,It’s support with ios ?,It’s support with ios ?,0.4019
@alok.01,2024-03-17T23:00:51Z,2024-03-17T23:00:58Z,0,"Why is this channel, can anyone explain","Why is this channel, can anyone explain",0.0
@kishoresolanki2782,2024-03-17T14:52:54Z,2024-03-17T14:52:54Z,0,"Finally back , had a great void without you in tech industry. Just happy to see u","Finally back , had a great void without you in tech industry. Just happy to see u",0.8316
@Alessandro-K333,2024-03-17T12:39:38Z,2024-03-17T12:39:38Z,0,"🏆✨Great video, very interesting! 👍🏻 With this band, can you display the emoji correctly? Thanks in advance for your attention!","🏆✨Great video, very interesting! 👍🏻 With this band, can you display the emoji correctly? Thanks in advance for your attention!",0.7563
@Sassyda,2024-03-17T10:12:17Z,2024-03-17T10:12:17Z,0,"This exactly looks like huawei band 7, anyways congrats on your new venture Rupesh.","This exactly looks like huawei band 7, anyways congrats on your new venture Rupesh.",0.7096
@saulgoodman124,2024-03-17T07:24:30Z,2024-03-17T07:24:30Z,0,Good to see u back rupesh,Good to see u back rupesh,0.4404
@mayurtambe6595,2024-03-17T04:56:21Z,2024-03-17T04:56:21Z,0,Is it compatible with IPhone?,Is it compatible with IPhone?,0.0
@phoenix810,2024-03-17T03:56:20Z,2024-03-17T03:56:20Z,1,16mb ram 💀,16mb ram 💀,0.0
@aakashnani36,2024-03-16T16:09:18Z,2024-03-16T16:09:18Z,0,Bro is it compatible with I phone what I mean is it connect with I phone,Bro is it compatible with I phone what I mean is it connect with I phone,0.0
@ghostfacegangster6866,2024-03-16T14:49:41Z,2024-03-16T14:49:41Z,1,Hi bro,Hi bro,0.0
@thepixelsightfilms,2024-03-16T13:01:00Z,2024-03-16T13:01:00Z,0,I only watch BEEBOM because of you I just got your video in recommendation. ❤,I only watch BEEBOM because of you I just got your video in recommendation. ❤,0.6369
@sharoonk9333,2024-03-16T07:22:11Z,2024-03-16T07:22:11Z,0,Cmf  watch pro vs Samsung fit 3 which one is best,Cmf  watch pro vs Samsung fit 3 which one is best,0.7717
@bhavikmistry9153,2024-03-15T22:37:53Z,2024-03-15T22:37:53Z,0,"Honestly, the chin is a deal breaker for me. If someone could have done it in this price range, it would be Samsung. but apart form that, great for kids.","Honestly, the chin is a deal breaker for me. If someone could have done it in this price range, it would be Samsung. but apart form that, great for kids.",0.8248
@krishnamalhotra7,2024-03-15T20:59:39Z,2024-03-15T20:59:39Z,0,Does it work fine with an iPhone?,Does it work fine with an iPhone?,0.2023
@akash-kumar737,2024-03-15T19:24:26Z,2024-03-15T19:24:26Z,0,Full support for new channel brother ❤,Full support for new channel brother ❤,0.7845
@dulaldas7650,2024-03-15T12:58:04Z,2024-03-15T12:58:04Z,0,Subscribed ✌🏻,Subscribed ✌🏻,0.4939
@MohitKumar-ri3yv,2024-03-15T11:21:40Z,2024-03-15T11:21:40Z,0,I would prefer casio F91 over this any day,I would prefer casio F91 over this any day,0.0
@itsdeadblood9578,2024-03-15T04:28:11Z,2024-03-15T04:28:11Z,0,Come here just for rupesh <br>Beebom sucks now😢,Come here just for rupesh <br>Beebom sucks now😢,-0.6808
@Arjunsingh-hc3ph,2024-03-14T23:35:55Z,2024-03-14T23:36:20Z,0,"Sir , did you left beebom...?","Sir , did you left beebom...?",0.0
@rydmike,2024-03-14T16:36:07Z,2024-03-14T16:38:18Z,0,"Looks, nice. I like the light weight and long battery life. Can someone explain what accounts and apps you need to make it work on none Samsung Android phones? Is there any diff in features compared to when using it with a Samsung Android phone and other Android phones? How about using it with an iPhone? Is all the needed software available on iPhone as well? Does it work well?","Looks, nice. I like the light weight and long battery life. Can someone explain what accounts and apps you need to make it work on none Samsung Android phones? Is there any diff in features compared to when using it with a Samsung Android phone and other Android phones? How about using it with an iPhone? Is all the needed software available on iPhone as well? Does it work well?",0.8577
@omjarhad7292,2024-03-14T15:54:57Z,2024-03-14T15:54:57Z,0,Wtf the subsribe button glowed when you said subscribe 😮,Wtf the subscribe button glows when you said subscribe 😮,-0.5859
@Tamil_94,2024-03-14T14:34:22Z,2024-03-14T14:34:22Z,0,Whats the strap size ?,Whats the strap size ?,0.0
@ALLKNEWPRINCE,2024-03-14T14:15:26Z,2024-03-14T14:15:26Z,0,Wait for redmi watch 4,Wait for redmi watch 4,0.0
@venkatadri1299,2024-03-14T08:04:22Z,2024-03-14T08:04:22Z,0,"<a href=""https://www.youtube.com/watch?v=eBkcXERfZO0&amp;t=233"">3:53</a> 😂","<a href=""https://www.youtube.com/watch?v=eBkcXERfZO0&amp;t=233"">3:53</a> 😂",0.4404
@venkatadri1299,2024-03-14T08:00:53Z,2024-03-14T08:00:53Z,0,What happened to beebom,What happened to beebom,0.0
@aaditya-j,2024-03-14T04:05:18Z,2024-03-14T04:05:18Z,0,"mannnn i was searching for this dude 🤪 found him here, great to hear him speak","mannnn i was searching for this dude 🤪 found him here, great to hear him speak",0.6249
